component1,component2,component3,label
-0.25267467,1.8978288,0.20512554,InfoVis
4.1776648,0.39555252,-0.35951886,InfoVis
-1.0839843,-0.3049416,-0.014619463,InfoVis
0.06540061,0.8425508,-0.4503978,InfoVis
-0.814887,0.6227358,0.2247535,InfoVis
2.6955733,1.5969123,-0.32515737,InfoVis
0.044346668,2.0848238,0.15010199,InfoVis
-1.0678247,0.93909127,-0.033157855,InfoVis
2.1811874,4.130373,0.10143924,InfoVis
0.4302003,6.4452014,0.8899096,InfoVis
-0.73060703,-0.0014698867,-0.2699731,InfoVis
0.69446826,2.4033566,-0.23646453,InfoVis
-0.70904344,1.8846247,0.29965934,InfoVis
-0.9427061,0.3579051,-0.42911506,InfoVis
0.023837375,2.0073302,-0.10841173,InfoVis
-0.9629031,1.3508798,0.32870722,InfoVis
-0.14140227,1.7029233,-0.054494657,InfoVis
0.30919915,2.6552966,0.48039937,InfoVis
-0.2540175,1.0235082,0.10684801,InfoVis
-1.3287625,1.3542957,-0.1875111,InfoVis
-1.6747986,-0.5444333,-0.39197668,InfoVis
-0.6350372,0.9244703,-0.13792518,InfoVis
-1.0522531,0.29318002,-0.24808125,InfoVis
-0.25889015,1.9167285,-0.045025352,InfoVis
-0.32241297,0.2690736,-0.016626593,InfoVis
1.6024313,2.8973475,-0.005170021,InfoVis
-0.5341132,2.9249585,0.2240643,InfoVis
-0.5936003,4.306186,0.5161153,InfoVis
-0.08711404,2.1009295,-0.02885431,InfoVis
-1.1178223,-0.14579625,-0.22866891,InfoVis
-0.18620637,2.0158179,0.16024953,InfoVis
-1.0324173,3.6854715,0.30543387,InfoVis
-1.3993441,1.1584307,-0.21726415,InfoVis
-0.61445594,1.0464094,-0.1285291,InfoVis
0.04629152,5.315931,0.5531563,InfoVis
-0.31388924,2.5500314,-0.027684046,InfoVis
-0.9704939,0.77518535,0.30813155,InfoVis
0.17605981,1.6262381,-0.0066115353,InfoVis
-0.37061724,0.44884133,0.06941597,InfoVis
-0.36922985,-0.16792949,0.11724452,InfoVis
-0.7628547,2.9564319,0.14735508,InfoVis
-1.449556,0.7839598,-0.20390542,InfoVis
0.2965147,2.1884294,0.5656928,InfoVis
0.146793,2.5392776,-0.068895854,InfoVis
