rank,pred,label,id,Conference,Year,Title,Link,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award
1,0.9403451,1,119,InfoVis,2005,Graph-theoretic scagnostics,http://dx.doi.org/10.1109/INFVIS.2005.1532142,We introduce Tukey and Tukey scagnostics and develop graph-theoretic methods for implementing their procedure on large datasets.,Leland Wilkinson;Anushka Anand;Robert L. Grossman,L. Wilkinson;A. Anand;R. Grossman,"SPSS Inc., Chicago, IL, USA",10.1109/INFVIS.2003.1249006;10.1109/INFVIS.2004.3;10.1109/INFVIS.2004.15,"visualization, statistical graphics",131.0,165.0,61.0,43.0,
2,0.8569036,0,1201,InfoVis,2018,Shape-preserving Star Coordinates,http://dx.doi.org/10.1109/TVCG.2018.2865118,"Dimensionality reduction is commonly applied to multidimensional data to reduce the complexity of their analysis. In visual analysis systems, projections embed multidimensional data into 2D or 3D spaces for graphical representation. To facilitate a robust and accurate analysis, essential characteristics of the multidimensional data shall be preserved when projecting. Orthographic star coordinates is a state-of-the-art linear projection method that avoids distortion of multidimensional clusters by restricting interactive exploration to orthographic projections. However, existing numerical methods for computing orthographic star coordinates have a number of limitations when putting them into practice. We overcome these limitations by proposing the novel concept of shape-preserving star coordinates where shape preservation is assured using a superset of orthographic projections. Our scheme is explicit, exact, simple, fast, parameter-free, and stable. To maintain a valid shape-preserving star-coordinates configuration during user interaction with one of the star-coordinates axes, we derive an algorithm that only requires us to modify the configuration of one additional compensatory axis. Different design goals can be targeted by using different strategies for selecting the compensatory axis. We propose and discuss four strategies including a strategy that approximates orthographic star coordinates very well and a data-driven strategy. We further present shape-preserving morphing strategies between two shape-preserving configurations, which can be adapted for the generation of data tours. We apply our concept to multiple data analysis scenarios to document its applicability and validate its desired properties.",Vladimir Molchanov;Lars Linsen,Vladimir Molchanov;Lars Linsen,"Westfälische Wilhelms-Universität Münster, Germany;Westfälische Wilhelms-Universität Münster, Germany",10.1109/TVCG.2010.209;10.1109/TVCG.2013.182;10.1109/TVCG.2015.2467132;10.1109/TVCG.2015.2467324;10.1109/TVCG.2014.2346258,"Star coordinates,multidimensional data projection,multivariate data visualization",0.0,1.0,0.0,30.0,
3,0.8415213,0,606,InfoVis,2013,Orthographic Star Coordinates,http://dx.doi.org/10.1109/TVCG.2013.182,"Star coordinates is a popular projection technique from an nD data space to a 2D/3D visualization domain. It is defined by setting n coordinate axes in the visualization domain. Since it generally defines an affine projection, strong distortions can occur: an nD sphere can be mapped to an ellipse of arbitrary size and aspect ratio. We propose to restrict star coordinates to orthographic projections which map an nD sphere of radius r to a 2D circle of radius r. We achieve this by formulating conditions for the coordinate axes to define orthographic projections, and by running a repeated non-linear optimization in the background of every modification of the coordinate axes. This way, we define a number of orthographic interaction concepts as well as orthographic data tour sequences: a scatterplot tour, a principle component tour, and a grand tour. All concepts are illustrated and evaluated with synthetic and real data.",Dirk J. Lehmann;Holger Theisel,Dirk J. Lehmann;Holger Theisel,University of Magdeburg;University of Magdeburg,10.1109/VISUAL.1997.663916,"Start plot, multivariate visualization, visual analytics",24.0,31.0,24.0,27.0,
4,0.82508653,0,819,InfoVis,2015,A comparative study between RadViz and Star Coordinates,http://dx.doi.org/10.1109/TVCG.2015.2467324,"RadViz and star coordinates are two of the most popular projection-based multivariate visualization techniques that arrange variables in radial layouts. Formally, the main difference between them consists of a nonlinear normalization step inherent in RadViz. In this paper we show that, although RadViz can be useful when analyzing sparse data, in general this design choice limits its applicability and introduces several drawbacks for exploratory data analysis. In particular, we observe that the normalization step introduces nonlinear distortions, can encumber outlier detection, prevents associating the plots with useful linear mappings, and impedes estimating original data attributes accurately. In addition, users have greater flexibility when choosing different layouts and views of the data in star coordinates. Therefore, we suggest that analysts and researchers should carefully consider whether RadViz's normalization step is beneficial regarding the data sets' characteristics and analysis tasks.",Manuel Rubio-Sánchez;Laura Raya;Francisco Diaz;Alberto Sánchez 0001,Manuel Rubio-Sánchez;Laura Raya;Francisco Díaz;Alberto Sanchez,URJC;U-tad;UPM;URJC and CCS,10.1109/VAST.2010.5652433;10.1109/INFVIS.1998.729559;10.1109/VISUAL.1997.663916;10.1109/TVCG.2013.182;10.1109/TVCG.2014.2346258;10.1109/TVCG.2008.173,"RadViz, Star coordinates, Exploratory data analysis, Cluster analysis, Classification, Outlier detection",22.0,33.0,27.0,45.0,
5,0.8235463,0,652,InfoVis,2014,Axis Calibration for Improving Data Attribute Estimation in Star Coordinates Plots,http://dx.doi.org/10.1109/TVCG.2014.2346258,"Star coordinates is a well-known multivariate visualization method that produces linear dimensionality reduction mappings through a set of radial axes defined by vectors in an observable space. One of its main drawbacks concerns the difficulty to recover attributes of data samples accurately, which typically lie in the [0], [1] interval, given the locations of the low-dimensional embeddings and the vectors. In this paper we show that centering the data can considerably increase attribute estimation accuracy, where data values can be read off approximately by projecting embedded points onto calibrated (i.e., labeled) axes, similarly to classical statistical biplots. In addition, this idea can be coupled with a recently developed orthonormalization process on the axis vectors that prevents unnecessary distortions. We demonstrate that the combination of both approaches not only enhances the estimates, but also provides more faithful representations of the data.",Manuel Rubio-Sánchez;Alberto Sánchez 0001,Manuel Rubio-Sánchez;Alberto Sanchez,URJC;URJC,10.1109/TVCG.2010.209;10.1109/TVCG.2013.182;10.1109/VISUAL.1990.146402;10.1109/VISUAL.1997.663916,"Star Coordinates, RadViz, Biplots, Axis calibration, Attribute value estimation, Data centering, Orthographic projection",11.0,12.0,9.0,25.0,
6,0.8131656,0,1030,InfoVis,2017,"Scatterplots: Tasks, Data, and Designs",http://dx.doi.org/10.1109/TVCG.2017.2744184,"Traditional scatterplots fail to scale as the complexity and amount of data increases. In response, there exist many design options that modify or expand the traditional scatterplot design to meet these larger scales. This breadth of design options creates challenges for designers and practitioners who must select appropriate designs for particular analysis goals. In this paper, we help designers in making design choices for scatterplot visualizations. We survey the literature to catalog scatterplot-specific analysis tasks. We look at how data characteristics influence design decisions. We then survey scatterplot-like designs to understand the range of design options. Building upon these three organizations, we connect data characteristics, analysis tasks, and design choices in order to generate challenges, open questions, and example best practices for the effective design of scatterplots.",Alper Sarikaya;Michael Gleicher,Alper Sarikaya;Michael Gleicher,University of Wisconsin&#x2014;Madison;University of Wisconsin&#x2014;Madison,10.1109/TVCG.2015.2467618;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2008.119;10.1109/TVCG.2011.229;10.1109/TVCG.2011.185;10.1109/TVCG.2013.124;10.1109/VAST.2012.6400486;10.1109/VAST.2010.5652460;10.1109/TVCG.2014.2346594;10.1109/TVCG.2009.122;10.1109/TVCG.2006.161;10.1109/TVCG.2007.70535;10.1109/INFVIS.2002.1173156;10.1109/TVCG.2013.187;10.1109/TVCG.2013.183;10.1109/TVCG.2014.2346983;10.1109/TVCG.2006.163;10.1109/VAST.2016.7883507;10.1109/TVCG.2011.223;10.1109/TVCG.2015.2467615;10.1109/VAST.2009.5333895;10.1109/TVCG.2013.182;10.1109/TVCG.2013.130;10.1109/TVCG.2016.2598839;10.1109/TVCG.2013.120;10.1109/TVCG.2013.153;10.1109/TVCG.2011.167;10.1109/TVCG.2007.70596;10.1109/TVCG.2010.197;10.1109/INFVIS.2005.1532142;10.1109/TVCG.2013.150;10.1109/TVCG.2010.174,"Scatterplots,task taxonomies,study of designs",6.0,19.0,11.0,76.0,
7,0.8128685,0,76,InfoVis,2004,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,http://dx.doi.org/10.1109/INFVIS.2004.15,"Visual clutter denotes a disordered collection of graphical entities in information visualization. Clutter can obscure the structure present in the data. Even in a small dataset, clutter can make it hard for the viewer to find patterns, relationships and structure. In this paper, we define visual clutter as any aspect of the visualization that interferes with the viewer's understanding of the data, and present the concept of clutter-based dimension reordering. Dimension order is an attribute that can significantly affect a visualization's expressiveness. By varying the dimension order in a display, it is possible to reduce clutter without reducing information content or modifying the data in any way. Clutter reduction is a display-dependent task. In this paper, we follow a three-step procedure for four different visualization techniques. For each display technique, first, we determine what constitutes clutter in terms of display properties; then we design a metric to measure visual clutter in this display; finally we search for an order that minimizes the clutter in a display",Wei Peng;Matthew O. Ward;Elke A. Rundensteiner,Wei Peng;M.O. Ward;E.A. Rundensteiner,Worcester Polytechnic Institute,10.1109/INFVIS.2003.1249015;10.1109/VISUAL.1996.567800;10.1109/VISUAL.1990.146386;10.1109/INFVIS.1998.729559;10.1109/VISUAL.1999.809866;10.1109/INFVIS.1996.559215;10.1109/INFVIS.2000.885086,"Multidimensional visualization, dimension order, visual clutter, visual structure",182.0,218.0,96.0,27.0,
8,0.794709,0,206,InfoVis,2007,Weaving Versus Blending: a quantitative assessment of the information carrying capacities of two alternative methods for conveying multivariate data with color.,http://dx.doi.org/10.1109/TVCG.2007.70623,"In many applications, it is important to understand the individual values of, and relationships between, multiple related scalar variables defined across a common domain. Several approaches have been proposed for representing data in these situations. In this paper we focus on strategies for the visualization of multivariate data that rely on color mixing. In particular, through a series of controlled observer experiments, we seek to establish a fundamental understanding of the information-carrying capacities of two alternative methods for encoding multivariate information using color: color blending and color weaving. We begin with a baseline experiment in which we assess participants' abilities to accurately read numerical data encoded in six different basic color scales defined in the L*a*b* color space. We then assess participants' abilities to read combinations of 2, 3, 4 and 6 different data values represented in a common region of the domain, encoded using either color blending or color weaving. In color blending a single mixed color is formed via linear combination of the individual values in L*a*b* space, and in color weaving the original individual colors are displayed side-by-side in a high frequency texture that fills the region. A third experiment was conducted to clarify some of the trends regarding the color contrast and its effect on the magnitude of the error that was observed in the second experiment. The results indicate that when the component colors are represented side-by-side in a high frequency texture, most participants' abilities to infer the values of individual components are significantly improved, relative to when the colors are blended. Participants' performance was significantly better with color weaving particularly when more than 2 colors were used, and even when the individual colors subtended only 3 minutes of visual angle in the texture. However, the information-carrying capacity of the color weaving approach has its limits. We found that participants' abilities to accurately interpret each of the individual components in a high frequency color texture typically falls off as the number of components increases from 4 to 6. We found no significant advantages, in either color blending or color weaving, to using color scales based on component hues thatare more widely separated in the L*a*b* color space. Furthermore, we found some indications that extra difficulties may arise when opponent hues are employed.",Haleh Hagh-Shenas;Sunghee Kim;Victoria Interrante;Christopher G. Healey,Haleh Hagh-Shenas;Sunghee Kim;Victoria Interrante;Christopher Healey,Boston Scientific;Gettysburg College;University of Minnesota;North Carolina State University,10.1109/INFVIS.2005.1532140;10.1109/VISUAL.2003.1250362;10.1109/VISUAL.1999.809905;10.1109/INFVIS.2005.1532137,"Color, perception, visualization, color weaving, color blending",1.0,0.0,36.0,14.0,
9,0.77300656,0,456,SciVis,2012,Analysis of Streamline Separation at Infinity Using Time-Discrete Markov Chains,http://dx.doi.org/10.1109/TVCG.2012.198,"Existing methods for analyzing separation of streamlines are often restricted to a finite time or a local area. In our paper we introduce a new method that complements them by allowing an infinite-time-evaluation of steady planar vector fields. Our algorithm unifies combinatorial and probabilistic methods and introduces the concept of separation in time-discrete Markov-Chains. We compute particle distributions instead of the streamlines of single particles. We encode the flow into a map and then into a transition matrix for each time direction. Finally, we compare the results of our grid-independent algorithm to the popular Finite-Time-Lyapunov-Exponents and discuss the discrepancies.",Wieland Reich;Gerik Scheuermann,Wieland Reich;Gerik Scheuermann,University of Leipzig;University of Leipzig,10.1109/VISUAL.1999.809896,"Vector field topology, flow visualization, feature extraction, uncertainty",2.0,3.0,2.0,31.0,
10,0.7716653,0,122,InfoVis,2005,A note on space-filling visualizations and space-filling curves,http://dx.doi.org/10.1109/INFVIS.2005.1532145,"A recent line of treemap research has focused on layout algorithms that optimize properties such as stability, preservation of ordering information, and aspect ratio of rectangles. No ideal treemap layout algorithm has been found, and so it is natural to explore layouts that produce nonrectangular regions. This note describes a connection between space-filling visualizations and the mathematics of space-filling curves, and uses that connection to characterize a family of layout algorithms which produce nonrectangular regions but enjoy geometric continuity under changes to the data and legibility even for highly unbalanced trees.",Martin Wattenberg,M. Wattenberg,"IBM Res., White Plains, NY, USA",10.1109/INFVIS.2001.963283;10.1109/INFVIS.2002.1173152,Hierarchy Visualization,51.0,56.0,18.0,15.0,
